Title,Authors,Year,Tags,Abstract,URL,Zotero Key
Full Text,,,Needs Review,,https://academic.oup.com/bjsw/article-pdf/52/6/3347/45892606/bcab249.pdf,BP5GH4Z6
Williamson and Baker - 2008 - Helping victims of prostitution and trafficking I.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://www.researchgate.net/profile/Celia-Williamson/publication/233644498_Helping_victims_of_prostitution_and_trafficking_It_takes_a_community/links/53e0dd920cf2d79877a50831/Helping-victims-of-prostitution-and-trafficking-It-takes-a-community.pdf,6C9AWBJE
Full Text,,,"Law Enforcement, Mental Health",,https://www.antitraffickingreview.org/index.php/atrjournal/article/download/442/351,F3MS5RXN
"Sarich et al. - 2016 - Forced Marriage, Slavery, and Plural Legal Systems.pdf",,,Needs Review,,https://repository.up.ac.za/bitstream/handle/2263/53256/Sarich_Forced_2016.pdf?sequence=1&isAllowed=y,R4X97GJN
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://academic.oup.com/jhrp/article-pdf/12/2/364/36912957/huaa024.pdf?guestAccessKey=78647d96-58a7-44d6-a364-7900b870b572,7LI8IXLQ
Full Text,,,Needs Review,,https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC4703414&blobtype=pdf,GA9IZV42
Full Text,,,Needs Review,,https://www.researchgate.net/profile/Sharvari-Karandikar-3/publication/288770135_Exploring_patriarchy_in_sex_workers%27_intimate_relationships_a_case_study_from_Mumbai/links/58ef9fe5458515ff23a87681/Exploring-patriarchy-in-sex-workers-intimate-relationships-a-case-study-from-Mumbai.pdf,D4NVIB3F
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://bristoluniversitypressdigital.com/downloadpdf/view/journals/jpsj/30/2/article-p141.pdf,GJQH7VN9
Full Text,,,"Public Policy, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/00333549211065523,PEQEV563
Countryman-Roswurm and Bolin - 2014 - Domestic Minor Sex Trafficking Assessing and Redu.pdf,,,,,https://www.researchgate.net/profile/Brien-Bolin/publication/267696572_Domestic_Minor_Sex_Trafficking_Assessing_and_Reducing_Risk/links/55787b6908aeacff20028490/Domestic-Minor-Sex-Trafficking-Assessing-and-Reducing-Risk.pdf,YAMGS7VZ
Azhar et al. - 2020 - Diversity in Sex Work in India Challenging Stereo.pdf,,,Needs Review,,https://www.researchgate.net/profile/Sameena-Azhar-2/publication/340164565_Diversity_in_Sex_Work_in_India_Challenging_Stereotypes_Regarding_Sex_Workers/links/5e7cba4c92851caef49f1777/Diversity-in-Sex-Work-in-India-Challenging-Stereotypes-Regarding-Sex-Workers.pdf,4XQSX59A
Full Text,,,Needs Review,,https://academic.oup.com/bjc/article-pdf/55/3/494/8658284/azu115.pdf,8YXKWILA
Middleton and Edwards - 2021 - Detecting child trafficking within the child welfa.pdf,,,"Law Enforcement, Mental Health, Social Work",,https://medcraveonline.com/FRCIJ/FRCIJ-09-00335.pdf,BC8KWXRF
Jain et al. - 2022 - Creating a Collaborative Trauma-Informed Interdisc.pdf,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549211059833,I564Z8GU
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549211041603,PRKE7M4Z
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://journals.sagepub.com/doi/pdf/10.1177/00333549211054082,SF5WV2XK
Full Text,,,Needs Review,,https://academic.oup.com/bjc/article-pdf/59/2/481/27784990/azy042.pdf,SXL4SCZV
Kaye et al. - 2014 - Beyond Criminal Justice A Case Study of Respondin.pdf,,,Needs Review,,https://refugeeresearch.net/wp-content/uploads/2017/05/Kaye-et-al-2014-Beyond-Criminal-Justice-Responding-to-Human-Trafficking.pdf,GY8HHQMC
Full Text,,,Needs Review,,https://academic.oup.com/jamiaopen/article-pdf/6/4/ooad097/54463008/ooad097.pdf,Y6NAMEYK
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549221085243,MTDD7J75
Full Text,,,"Mental Health, Social Work",,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3198552_code594733.pdf?abstractid=3198552&mirid=1,XZUMP2TA
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/08933189211017925,VLETR8N3
Full Text,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/08862605211021967,BPQJVQ38
Cook et al. - 2022 - Addressing Racism in the Domestic Minor Sex Traffi.pdf,,,Needs Review,,https://journals.sagepub.com/doi/pdf/10.1177/00333549211058735,2AM7EV4C
Full Text,,,Needs Review,,https://www.antitraffickingreview.org/index.php/atrjournal/article/download/444/355,FJK6RR4M
Full Text,,,Needs Review,,https://faculty.washington.edu/kfoot/Publications/101019-Foot-GSN-ATP.pdf,66ZMCZ7I
Full Text,,,Needs Review,,https://anniefukushima.com/wp-content/uploads/2020/01/childwelfare_2020_whitepaper_afukushima-final-2.pdf,3252QEBF
Full Text,,,Needs Review,,https://equityhealthj.biomedcentral.com/counter/pdf/10.1186/s12939-020-1154-4,HFN7SUSC
Full Text,,,"Mental Health, Social Work",,https://www.mededportal.org/doi/pdf/10.15766/mep_2374-8265.11179,G2976ZX6
Full Text,,,Needs Review,,https://louisville.edu/kent/research-special-programs-projects/affiliated%20centers%20and%20institutes/AfiveyearanalysisofchildtraffickingintheUnitedStatesexploringcasecharacteristicsandoutcomestoinformchildwelfaresystemresponseMiddletonandEdwards2020.pdf,PEU3JLHT
Full Text,,,"Law Enforcement, Mental Health, Social Work",,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7C0F93586B85758052A1EF8AA1918A3C/S2194588800000713a.pdf/div-class-title-a-benefit-cost-framework-for-early-intervention-to-prevent-sex-trading-div.pdf,6L5AWSBP
Full Text,,,Needs Review,,https://www.researchgate.net/profile/Marcel-Van-Der-Watt/publication/339092591_Stillnotfound_Missing_Children_in_South_Africa/links/5e3eb5b5458515072d8a51ea/Stillnotfound-Missing-Children-in-South-Africa.pdf,JXGM8JEQ
"It Happened in the Desert, in Libya and in Italy: Physical and Sexual Violence Experienced by Female Nigerian Victims of Trafficking in Italy","Sarah Adeyinka, Ine Lietaert, and Ilse Derluyn",,"Lived Experience, Social Work",,https://www.mdpi.com/1660-4601/20/5/4309,XEKM64BE
“You are merely a Nigerian prostitute”: Sexual stigma and labeling of Nigerian victims of trafficking in Italy.,"Sarah Adeyinka, Ine Lietaert, and Ilse Derluyn",,"Lived Experience, Public Policy, Social Work",,https://psycnet.apa.org/record/2023-49908-001,TJHAC77Q
The Convoluted Experiences of Young Nigerian Victims of Trafficking along Their Migration Trajectories,Sarah Adeyinka,,"Lived Experience, Social Work",,https://brill.com/view/journals/afoc/35/2/article-p375_007.xml,39PH3FUI
She said this might be God’s way of taking care of us. Family involvement in human trafficking,"Sarah Adeyinka, Ine Lietaert, Ilse Derluyn",,Social Work,,https://www.emerald.com/insight/content/doi/10.1108/IJMHSC-11-2022-0116/full/html,G9PNK5NQ
"The Role of Juju Rituals in Human Trafficking of Nigerians: A Tool of Enslavement, But Also Escape","Sarah Adeyinka, Ine Lietaert, and Ilse Derluyn",,"Lived Experience, Public Policy",,https://journals.sagepub.com/doi/10.1177/21582440231210474,PMT2B3N6
International Sporting Events and Human Trafficking: Effects of Mega-Events on a State’s Capacity to Address Human Trafficking,Zack Bowersox,,"Law Enforcement, Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2015.1131584,IH6829M9
Union Density and Human Trafficking: Can Organized Labor Discourage Trafficking?,Zack Bowersox,,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2022.2073095,SZJ9HU6I
Expert Consensus Definition of Domestic Minor Sex Trafficking in Australia,"Zoe L. Knorre, Bruce D. Watt, Katarina Fritzon & Ashley Phelan",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1712642,55J7BTWG
Visa Fraud in the Commercial Sex Market in the United States: An Overview,Youngbee Dale,,"Law Enforcement, Public Policy",,https://digitalcommons.uri.edu/dignity/vol6/iss1/1/,JNPVI2RB
Does Human Trafficking Extend Conflict Duration?,Zack Bowersox,,Needs Review,,https://www.tandfonline.com/doi/full/10.1080/23322705.2018.1486630,AXWDP9AC
The Question of Moral Worth in a Controversial Market: Moral Justification Regimes and Boundary Work Among Israeli Men Who Pay for Sex Abroad,"Yeela Lahav-Raz, Ayelet Prior & Einat Peled",,Mental Health,,https://www.tandfonline.com/doi/full/10.1080/00224499.2023.2175346,QXZ2DFFG
"The Identification, Recovery, and Reintegration of Victims of Child Trafficking within ASEAN: An Exploratory Study of Knowledge Gaps and Emerging Challenges",Yvonne Rafferty,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2019.1689476,M98WQNJ8
An interdependent network interdiction model for disrupting sex trafficking networks,"Xiaodan Xie, Felipe Aros-Vera",,Needs Review,,https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.13713,U38RC52Z
Human trafficking: The role of medicine in interrupting the cycle of abuse and violence,Wendy Macias-Konstantopoulos,,Social Work,,https://pubmed.ncbi.nlm.nih.gov/27537695/,MPHXPFCU
Therapists’ Experiences of Counseling Foreign-National Sex-Trafficking Survivors in the U.S. and the Impact of COVID-19,Xinyi Wang & Jennie Park-Taylor,,"Lived Experience, Mental Health, Social Work",,https://psycnet.apa.org/fulltext/2021-77289-001.html,8G6ZJZ65
The Health Impacts on Victims of Human Trafficking in the Republic of Moldova,"Violina Nazaria, Eugenia Ciubotaru, Oleg Lozan & Simion Terzioglo",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1935147,IDU47I79
The Presentation of Child Trafficking in the UK: An Old and New Moral Panic?,"Viv Cree, Gary Clapton, Mark Smith",,"Mental Health, Public Policy, Social Work",,https://www.research.ed.ac.uk/portal/en/publications/the-presentation-of-child-trafficking-in-the-uk%28c971e4d9-8fcf-4883-aa0c-d845a6bbd016%29.html,VVASB8KT
Evidence of Son Preference in the Child Trafficking Market for Illegal Adoption in China,Wanru Xiong,,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1874188,UUED6ES2
Estimating Labor Trafficking Among Farmworkers: An Inverse Sampling Strategy Based on Reliable Housing Predictions,"Wayne J. Pitts, Kelle Barrick, Sheldon X. Zhang & Pamela K. Lattimore",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2014.977092,X4TB9HKD
Responding to the health needs of trafficked people: A qualitative study of professionals in England and Scotland,"Victoria Williamson, Rohan Borschmann, Cathy Zimmerman, Louise M. Howard, Nicky Stanley, Sian Oram",,"Lived Experience, Social Work",,https://onlinelibrary.wiley.com/doi/10.1111/hsc.12851,8XRV67F7
Rescue and Post-Rescue of Victims of Trafficking: An Agenda for Action,Vijay Raghaven,,"Public Policy, Social Work",,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2403365,D8MP3K9R
Training Residents on Understanding Trafficked Humans (TRUTH),"Vincent Lo, Duane Bland, Xylona Bibal, Bahman Chavoshan, Willard Chung, Pamela M. Davis, Gregory R. Lewis, Terrie Mendelson, Heidi Millard, Benjamin Oldach, La Donna R. Porter, John Paik-Tesch, V. Jordan Greenbaum & Ronald Chambers",,"Lived Experience, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1794746,SU8KV4AW
Discourse Analysis of International Reporting on Human Trafficking of North Koreans at the Border with China,Veronica Pacheco,,Lived Experience,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1823770,EBSATJT5
The African Commission on Human and Peoples' Rights and the promotion and protection of sexual and reproductive rights,Victoria Balogun & Ebenezer Durojaye,,Healthcare,,http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1996-20962011000200004,94HN3PKB
"Investigating Physician Training, Knowledge, and Response to Human Trafficking at an Academic Medical Center in Texas","Victoria Udezi, Prachi Singh, Lauren Malthaner & Katelyn Jetelina",,"Mental Health, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2023.2243580,KEUV9A38
Challenges to Identifying Labor Trafficking at the Local Level: A Qualitative Study of Service Providers and Stakeholders in California,Veronica Herrera & Lidia Nuño,,"Public Policy, Social Work",,https://www.tandfonline.com/doi/full/10.1080/23322705.2023.2301216,TDBD8XGM
Who’s to Blame in the Sex Trafficking of Women: Situational and Individual Factors that Define a “Deserving Victim”,Vasileia Digidiki & Aphrodite Baka,,"Lived Experience, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1827861,RARH3VJD
"Attitudes Towards the Victim and the Client of Sex Trafficking in Greece: The Influence of Belief in a Just World, Structural Attributions, Previous Experience, and Attitudes Towards Prostitution","Vasileia Digidiki, Maria Dikaiou & Aphrodite Baka",,"Mental Health, Public Policy",,https://www.tandfonline.com/doi/full/10.1080/23322705.2016.1176385,6F3R5E6Z
“I Don’t Want Anyone to Follow My Path:” Commercial Sexual Exploitation of Children in the Dominican Republic,"Veronica Escobar Olivo, Henry Parada & Fabiola Limón Bravo",,"Lived Experience, Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2021.1959757,QGGZFABD
"Estimating demand for illicit massage businesses in Houston, Texas",Vanessa Bouche & Sean M Crotty,,"Law Enforcement, Public Policy",,https://www.tandfonline.com/doi/full/10.1080/23322705.2017.1374080,G933DWTS
Jobs for Justice: The Impact of Stable Employment in Expediting Financial Wellbeing for Survivors of Human Trafficking,"Vanessa Bouché, Sara Woldehanna, Kyle Vincent & Betsy Nolan",,Social Work,,https://www.tandfonline.com/doi/abs/10.1080/23322705.2023.2257126,XS6BNBWK
Barriers to Sexually Exploited Cambodian Women Integrating into Churches: Perspectives of Sexually Exploited Women and the Christian Community,"Tricia J. Hester, Sopheak Kong, Glenn M. Miles",,"Faith-based Action, Lived Experience, Social Work",,https://digitalcommons.uri.edu/dignity/vol5/iss1/4/,CFAC7C5Z
Human Trafficking Efforts to Protect Connecticut's Vulnerable Children and Youth: Incorporating the Voices of Community Practitioners," Valdovinos, Miriam; Thomas, Rebecca; Tredinnick, Lorin; Reyes, Maritza Vasquez",,"Lived Experience, Mental Health, Social Work",,https://connect.springerpub.com/content/sgrvv/35/3/382.abstract,WAD3CQ2C
"Gender, rights and responsibilities: The need for a global analysis of the sexual exploitation of boys","Valentine Josenhans, Mark Kavenagh, Savanah Smith, Christine Wekerle",,Mental Health,,https://www.sciencedirect.com/science/article/pii/S0145213419304673,32ITIK27
Integrating Human Trafficking Data: A Case Study of Conceptual and Operational Variation in Ohio,"Valerie R. Anderson, Teresa C. Kulig & Christopher J. Sullivan",,"Public Policy, Social Work",,https://www.tandfonline.com/doi/abs/10.1080/23322705.2020.1804782,WH75TIQC
